feature,data_type,feature_type
Month,str,categorical
WeekOfMonth,int64,numerical
DayOfWeek,str,categorical
Make,str,categorical
AccidentArea,str,categorical
DayOfWeekClaimed,str,categorical
MonthClaimed,str,categorical
WeekOfMonthClaimed,int64,numerical
Sex,str,categorical
MaritalStatus,str,categorical
Age,int64,numerical
Fault,str,categorical
PolicyType,str,categorical
VehicleCategory,str,categorical
VehiclePrice,str,categorical
RepNumber,int64,numerical
Deductible,int64,numerical
DriverRating,int64,numerical
Days_Policy_Accident,str,categorical
Days_Policy_Claim,str,categorical
PastNumberOfClaims,str,categorical
AgeOfVehicle,str,categorical
AgeOfPolicyHolder,str,categorical
PoliceReportFiled,str,categorical
WitnessPresent,str,categorical
AgentType,str,categorical
NumberOfSuppliments,str,categorical
AddressChange_Claim,str,categorical
NumberOfCars,str,categorical
Year,int64,numerical
BasePolicy,str,categorical
